_id,jobid,position,location,company,remote,status,description,joburl,category,subcategory,tags
262,5510566c-212e-4fa4-ac1e-d11623abaf86,Product Manager - UK & Western Europe ,London,na,False,True,na,https://jobs.lever.co/theorem/5510566c-212e-4fa4-ac1e-d11623abaf86,Manager,Product,tags
263,c8c4d20f-f2df-4f43-a493-d8348759e569,Product Manager ,Remote,na,True,True,na,https://jobs.lever.co/theorem/c8c4d20f-f2df-4f43-a493-d8348759e569,Manager,Product,tags
264,d1a74c69-1bb4-4bb1-ba3a-e291222a31c9,Site Reliability Engineer @ Apple ,Remote,na,True,True,na,https://jobs.lever.co/theorem/d1a74c69-1bb4-4bb1-ba3a-e291222a31c9,Engineering,Site,tags
265,821ed00f-513e-43a0-96d4-dbb030038fdb,Digital Growth Hacker / Social Media Strategist ,Remote,na,True,True,na,https://jobs.lever.co/theorem/821ed00f-513e-43a0-96d4-dbb030038fdb,Sales and Marketing,Marketing,tags
266,d2f513a1-b8bd-43e7-88f6-84de55e7ca49,Marketing and Design Coordinator,Remote,na,True,True,na,https://jobs.lever.co/theorem/d2f513a1-b8bd-43e7-88f6-84de55e7ca49,Coordinator,Marketing,tags
267,00a48e6e-6c39-4f61-bb38-98639c5a1710,Business Development Manager - Americas Focused ,Remote,na,True,True,na,https://jobs.lever.co/theorem/00a48e6e-6c39-4f61-bb38-98639c5a1710,Manager,Business Development,tags
268,94fb6552-be1b-483d-bad4-a56b4d82fe28,Business Development Manager - UK Focused ,Remote,na,True,True,na,https://jobs.lever.co/theorem/94fb6552-be1b-483d-bad4-a56b4d82fe28,Manager,Business Development,tags
269,3b16fd79-d889-4ae5-ab28-9a2779189cbd,Sales Development Representative ,Remote,na,True,True,na,https://jobs.lever.co/theorem/3b16fd79-d889-4ae5-ab28-9a2779189cbd,Sales and Marketing,na ,tags
270,5d76206d-c3fa-49a5-8d9c-65f6e6c60f14,Engineering Talent Advocate ,Remote,na,True,True,na,https://jobs.lever.co/theorem/5d76206d-c3fa-49a5-8d9c-65f6e6c60f14,Engineering,na ,tags
271,fb311797-e8b2-490a-85c2-3a41ee5b84a4,Technical Screener,Remote,na,True,True,na,https://jobs.lever.co/theorem/fb311797-e8b2-490a-85c2-3a41ee5b84a4,Talent Acquisition – Technical Screener,na ,tags
272,89148881-e655-4638-ac05-75dd727da70b,Director of Engineering,Anywhere,na,False,True,na,https://jobs.lever.co/Smile.io/89148881-e655-4638-ac05-75dd727da70b,Engineering,na ,tags
273,4837e990-d865-4d29-8a27-0107ae3da37b,Software Engineer,Remote,na,True,True,na,https://jobs.lever.co/Smile.io/4837e990-d865-4d29-8a27-0107ae3da37b,Engineering,Software,tags
274,932c56a5-12ba-4ce3-b8b0-2ce267b0e65a,Senior Site Reliability Specialist,Remote,na,True,True,na,https://jobs.lever.co/Smile.io/932c56a5-12ba-4ce3-b8b0-2ce267b0e65a,Engineering – Site Reliability Engineering,Site,tags
275,cdbec3c0-a1c9-4bdb-8d5c-91fdf2ce0f36,Senior Product Manager,Remote,na,True,True,na,https://jobs.lever.co/Smile.io/cdbec3c0-a1c9-4bdb-8d5c-91fdf2ce0f36,Manager,Product,tags
276,5c285ccf-fc9e-47ad-a01f-a522750febcf,Product Marketing Manager,Remote,na,True,True,na,https://jobs.lever.co/Smile.io/5c285ccf-fc9e-47ad-a01f-a522750febcf,Manager,Product,tags
277,67ef0ce9-1c15-499a-8474-1869b40c1a64,Recruitment Coordinator,"Chicago, IL",na,False,True,na,https://jobs.lever.co/amount/67ef0ce9-1c15-499a-8474-1869b40c1a64,Coordinator,Administrator,tags
278,3273bd94-6c1f-46b1-b64f-8517abbaa732,Technical Recruiter,"Chicago, IL",na,False,True,na,https://jobs.lever.co/amount/3273bd94-6c1f-46b1-b64f-8517abbaa732,Administrative – Talent,Administrator,tags
279,1e6bea0d-bd7f-41fd-a5f2-71509c742853,Senior Platform Engineer,Chicago / LA / US Remote,na,True,True,na,https://jobs.lever.co/amount/1e6bea0d-bd7f-41fd-a5f2-71509c742853,Engineering,na ,tags
280,9a40852b-521e-42c1-8677-00a31320d313,Cloud Infrastructure Engineering Manager,Chicago / LA / US Remote,na,True,True,na,https://jobs.lever.co/amount/9a40852b-521e-42c1-8677-00a31320d313,Engineering,Infrastructure,tags
281,1457df25-662a-41a3-8c26-d2551f532b97,Core Infrastructure Engineer,Chicago / LA / US Remote,na,True,True,na,https://jobs.lever.co/amount/1457df25-662a-41a3-8c26-d2551f532b97,Engineering,Infrastructure,tags
282,46bb4d70-e93a-418f-ab64-dcef81585ee0,Full-Stack Engineer,Remote,na,True,True,na,https://jobs.lever.co/amount/46bb4d70-e93a-418f-ab64-dcef81585ee0,Engineering,na ,tags
